DQN：
实验条件：非抽象训练 pointdefault
宽400高300
INTERVAL_NUM = 100
EPSILON_DECAY = 0.99
train_time=15
STEER_AMT = 0.35
SPEED_AMT = 0.8
DSEIRED_DIS = 5
REPLAY_MEMORY_SIZE = 7_000

反馈函数：
        if len(self.collision_hist) != 0:
            done = True
            reward -= 300
        elif kmh < 15:
            done = False
            reward -= 5
        elif kmh < 30:
            done = False
            reward += 10
        else:
            done = False
            reward += 30

        if time.time() - self.episode_start > 10:
            dis = self.get_dis()
            if dis < CarEnv.DSEIRED_DIS:
                reward -= 5 * (int)(CarEnv.DSEIRED_DIS - dis)


episode 349, episode_reward -260, epsilon 0.030272
episode 350, episode_reward 250, epsilon 0.029970
episode 351, episode_reward 190, epsilon 0.029670
episode 352, episode_reward -285, epsilon 0.029373
episode 353, episode_reward -275, epsilon 0.029080
episode 354, episode_reward -290, epsilon 0.028789
episode 355, episode_reward -285, epsilon 0.028501
episode 356, episode_reward -270, epsilon 0.028216
episode 357, episode_reward 240, epsilon 0.027934
episode 358, episode_reward 210, epsilon 0.027654
episode 359, episode_reward 220, epsilon 0.027378
episode 360, episode_reward 215, epsilon 0.027104
episode 361, episode_reward -270, epsilon 0.026833
episode 362, episode_reward 255, epsilon 0.026565
episode 363, episode_reward 245, epsilon 0.026299
episode 364, episode_reward 265, epsilon 0.026036
episode 365, episode_reward 1335, epsilon 0.025776
episode 366, episode_reward 235, epsilon 0.025518
episode 367, episode_reward -290, epsilon 0.025263
episode 368, episode_reward 235, epsilon 0.025010
episode 369, episode_reward 225, epsilon 0.024760
episode 370, episode_reward 1370, epsilon 0.024512
episode 371, episode_reward 210, epsilon 0.024267
episode 372, episode_reward 2125, epsilon 0.024025
episode 373, episode_reward -280, epsilon 0.023784
episode 374, episode_reward 245, epsilon 0.023547
episode 375, episode_reward 200, epsilon 0.023311
episode 376, episode_reward 1345, epsilon 0.023078
episode 377, episode_reward 1265, epsilon 0.022847
episode 378, episode_reward 1950, epsilon 0.022619
episode 379, episode_reward 1260, epsilon 0.022393
episode 380, episode_reward 1920, epsilon 0.022169
episode 381, episode_reward 250, epsilon 0.021947
episode 382, episode_reward 250, epsilon 0.021727
episode 383, episode_reward 2200, epsilon 0.021510
episode 384, episode_reward 1305, epsilon 0.021295
episode 385, episode_reward 265, epsilon 0.021082
episode 386, episode_reward 220, epsilon 0.020871
episode 387, episode_reward 270, epsilon 0.020663
episode 388, episode_reward 250, epsilon 0.020456
episode 389, episode_reward -275, epsilon 0.020251
episode 390, episode_reward -265, epsilon 0.020049
episode 391, episode_reward -260, epsilon 0.019848
episode 392, episode_reward 240, epsilon 0.019650
episode 393, episode_reward 230, epsilon 0.019453
episode 394, episode_reward 235, epsilon 0.019259
episode 395, episode_reward 1345, epsilon 0.019066
episode 396, episode_reward 255, epsilon 0.018876
episode 397, episode_reward 235, epsilon 0.018687
episode 398, episode_reward -280, epsilon 0.018500
episode 399, episode_reward -285, epsilon 0.018315
episode 400, episode_reward -260, epsilon 0.018132
episode 401, episode_reward 3270, epsilon 0.017951
episode 402, episode_reward 260, epsilon 0.017771
episode 403, episode_reward 240, epsilon 0.017593
episode 404, episode_reward 210, epsilon 0.017417
episode 405, episode_reward 250, epsilon 0.017243
episode 406, episode_reward -280, epsilon 0.017071
episode 407, episode_reward 1515, epsilon 0.016900
episode 408, episode_reward 1385, epsilon 0.016731
episode 409, episode_reward 1110, epsilon 0.016564
episode 410, episode_reward 260, epsilon 0.016398
episode 411, episode_reward 1380, epsilon 0.016234
episode 412, episode_reward 215, epsilon 0.016072
episode 413, episode_reward 2790, epsilon 0.015911
episode 414, episode_reward 265, epsilon 0.015752
episode 415, episode_reward 240, epsilon 0.015594
episode 416, episode_reward 280, epsilon 0.015439
episode 417, episode_reward 220, epsilon 0.015284
episode 418, episode_reward -175, epsilon 0.015131
episode 419, episode_reward 1135, epsilon 0.014980
episode 420, episode_reward 1950, epsilon 0.014830
episode 421, episode_reward 5035, epsilon 0.014682
episode 422, episode_reward 5275, epsilon 0.014535
episode 423, episode_reward 220, epsilon 0.014390
episode 424, episode_reward 205, epsilon 0.014246
episode 425, episode_reward 215, epsilon 0.014103
episode 426, episode_reward 255, epsilon 0.013962
episode 427, episode_reward 215, epsilon 0.013823
episode 428, episode_reward 240, epsilon 0.013684
episode 429, episode_reward -110, epsilon 0.013548
episode 430, episode_reward -270, epsilon 0.013412
episode 431, episode_reward -270, epsilon 0.013278
episode 432, episode_reward 1045, epsilon 0.013145
episode 433, episode_reward -285, epsilon 0.013014
episode 434, episode_reward 220, epsilon 0.012884
episode 435, episode_reward 215, epsilon 0.012755
episode 436, episode_reward 1540, epsilon 0.012627
episode 437, episode_reward -260, epsilon 0.012501
episode 438, episode_reward 50, epsilon 0.012376
episode 439, episode_reward 230, epsilon 0.012252
episode 440, episode_reward 230, epsilon 0.012130
episode 441, episode_reward 215, epsilon 0.012008
episode 442, episode_reward 3160, epsilon 0.011888
episode 443, episode_reward -280, epsilon 0.011769
episode 444, episode_reward 220, epsilon 0.011652
episode 445, episode_reward 205, epsilon 0.011535
episode 446, episode_reward 240, epsilon 0.011420
episode 447, episode_reward -285, epsilon 0.011306
episode 448, episode_reward -285, epsilon 0.011193
episode 449, episode_reward -280, epsilon 0.011081
episode 450, episode_reward -255, epsilon 0.010970
episode 451, episode_reward -255, epsilon 0.010860
episode 452, episode_reward 240, epsilon 0.010752
episode 453, episode_reward -265, epsilon 0.010644
episode 454, episode_reward 235, epsilon 0.010538
episode 455, episode_reward -245, epsilon 0.010432
episode 456, episode_reward -270, epsilon 0.010328
episode 457, episode_reward 225, epsilon 0.010225
episode 458, episode_reward -290, epsilon 0.010122
episode 459, episode_reward 1030, epsilon 0.010021
episode 460, episode_reward 1385, epsilon 0.009921
episode 461, episode_reward 235, epsilon 0.009822
episode 462, episode_reward 220, epsilon 0.009724
episode 463, episode_reward 200, epsilon 0.009626
episode 464, episode_reward -270, epsilon 0.009530
episode 465, episode_reward 225, epsilon 0.009435
episode 466, episode_reward 220, epsilon 0.009340
episode 467, episode_reward 200, epsilon 0.009247
episode 468, episode_reward 205, epsilon 0.009155
episode 469, episode_reward 205, epsilon 0.009063
episode 470, episode_reward 1705, epsilon 0.008972
episode 471, episode_reward 240, epsilon 0.008883
episode 472, episode_reward 1705, epsilon 0.008794
episode 473, episode_reward -280, epsilon 0.008706
episode 474, episode_reward 1545, epsilon 0.008619
episode 475, episode_reward 2510, epsilon 0.008533
episode 476, episode_reward 285, epsilon 0.008447
episode 477, episode_reward 285, epsilon 0.008363
episode 478, episode_reward 970, epsilon 0.008279
episode 479, episode_reward 215, epsilon 0.008196
episode 480, episode_reward -290, epsilon 0.008114
episode 481, episode_reward -270, epsilon 0.008033
episode 482, episode_reward -270, epsilon 0.007953
episode 483, episode_reward 1075, epsilon 0.007873
episode 484, episode_reward 1380, epsilon 0.007795
episode 485, episode_reward 255, epsilon 0.007717
episode 486, episode_reward 230, epsilon 0.007640
episode 487, episode_reward -260, epsilon 0.007563
episode 488, episode_reward -265, epsilon 0.007488
episode 489, episode_reward 210, epsilon 0.007413
episode 490, episode_reward 230, epsilon 0.007339
episode 491, episode_reward -270, epsilon 0.007265
episode 492, episode_reward -290, epsilon 0.007193
episode 493, episode_reward -270, epsilon 0.007121
episode 494, episode_reward 215, epsilon 0.007049
episode 495, episode_reward 235, epsilon 0.006979
episode 496, episode_reward -275, epsilon 0.006909
episode 497, episode_reward -290, epsilon 0.006840
episode 498, episode_reward -270, epsilon 0.006772
episode 499, episode_reward 215, epsilon 0.006704
episode 500, episode_reward 250, epsilon 0.006637
episode 501, episode_reward 215, epsilon 0.006570
episode 502, episode_reward -290, epsilon 0.006505
episode 503, episode_reward 225, epsilon 0.006440
episode 504, episode_reward 225, epsilon 0.006375
episode 505, episode_reward -280, epsilon 0.006312
episode 506, episode_reward -290, epsilon 0.006248
episode 507, episode_reward -285, epsilon 0.006186
episode 508, episode_reward -280, epsilon 0.006124
episode 509, episode_reward -290, epsilon 0.006063
episode 510, episode_reward 210, epsilon 0.006002
episode 511, episode_reward 1265, epsilon 0.005942
episode 512, episode_reward 170, epsilon 0.005883
episode 513, episode_reward 255, epsilon 0.005824
episode 514, episode_reward -275, epsilon 0.005766
episode 515, episode_reward 230, epsilon 0.005708
episode 516, episode_reward 205, epsilon 0.005651
episode 517, episode_reward -275, epsilon 0.005594
episode 518, episode_reward 1340, epsilon 0.005539
episode 519, episode_reward 280, epsilon 0.005483
episode 520, episode_reward 220, epsilon 0.005428
